batch_id,course_id,trainer_id,batch_code,mode,slot,start_date,end_date,capacity
82,2,50,B2025082,Hybrid,Weekday Evening,2025-07-24,2025-08-21,60
83,3,37,B2025083,Online,Weekend Evening,2025-06-03,2025-07-01,50
84,9,39,B2025084,Hybrid,Weekday Morning,2025-04-26,2025-05-24,40
85,9,43,B2024085,Online,Weekday Morning,2024-10-07,2024-11-18,50
86,2,29,B2025086,Online,Weekend Evening,2025-10-18,2025-11-15,30
87,3,47,B2025087,Online,Weekend Evening,2025-10-16,2025-11-27,50
88,9,16,B2025088,Hybrid,Weekday Evening,2025-02-14,2025-04-11,50
89,6,25,B2025089,Offline,Weekend Evening,2025-11-12,2026-01-21,60
90,5,39,B2024090,Online,Weekday Evening,2024-04-25,2024-05-23,40
91,10,41,B2024091,Hybrid,Weekend Morning,2024-01-21,2024-02-18,30
92,4,45,B2025092,Hybrid,Weekday Evening,2025-03-11,2025-05-06,40
93,2,13,B2025093,Online,Weekday Evening,2025-03-05,2025-04-16,40
94,2,32,B2025094,Offline,Weekend Evening,2025-05-10,2025-06-21,50
95,9,31,B2024095,Hybrid,Weekday Morning,2024-01-12,2024-03-08,50
96,6,42,B2025096,Offline,Weekday Morning,2025-04-17,2025-05-29,60
97,4,28,B2024097,Offline,Weekend Evening,2024-10-28,2024-12-23,60
98,6,31,B2025098,Online,Weekend Evening,2025-05-31,2025-07-12,30
99,6,49,B2024099,Online,Weekend Evening,2024-08-20,2024-10-01,30
100,6,34,B2025100,Hybrid,Weekday Morning,2025-05-27,2025-06-24,30
101,2,42,B2024101,Hybrid,Weekend Evening,2024-05-24,2024-07-05,30
102,1,27,B2024102,Online,Weekday Evening,2024-09-29,2024-11-24,60
103,9,49,B2024103,Online,Weekend Evening,2024-11-04,2024-12-16,50
104,10,9,B2025104,Offline,Weekday Morning,2025-05-09,2025-06-06,30
105,8,57,B2024105,Online,Weekday Morning,2024-01-28,2024-03-10,40
106,7,41,B2024106,Offline,Weekday Evening,2024-03-20,2024-05-15,30
107,7,26,B2024107,Offline,Weekend Evening,2024-02-24,2024-03-23,40
108,2,17,B2025108,Offline,Weekday Morning,2025-10-18,2025-12-13,40
109,10,49,B2024109,Offline,Weekend Morning,2024-11-23,2025-01-18,30
110,7,53,B2024110,Online,Weekday Evening,2024-07-17,2024-08-28,50
111,8,51,B2024111,Offline,Weekend Morning,2024-12-03,2025-01-28,50
112,9,6,B2025112,Hybrid,Weekend Evening,2025-02-22,2025-04-05,60
113,7,16,B2024113,Hybrid,Weekend Evening,2024-04-15,2024-06-10,40
114,4,52,B2025114,Online,Weekday Morning,2025-06-02,2025-08-11,50
115,7,46,B2024115,Online,Weekend Morning,2024-02-24,2024-04-20,60
116,1,9,B2024116,Offline,Weekday Morning,2024-01-21,2024-03-31,60
117,3,48,B2024117,Hybrid,Weekend Morning,2024-11-06,2024-12-18,60
118,10,19,B2024118,Offline,Weekend Evening,2024-10-17,2024-11-14,60
119,8,24,B2024119,Online,Weekday Evening,2024-07-07,2024-08-04,30
120,6,30,B2024120,Offline,Weekend Morning,2024-02-16,2024-03-15,40
121,4,3,B2025121,Online,Weekday Evening,2025-05-21,2025-06-18,40
122,6,37,B2024122,Hybrid,Weekend Evening,2024-03-26,2024-04-23,50
123,7,27,B2024123,Online,Weekday Morning,2024-07-18,2024-09-26,30
124,9,37,B2025124,Hybrid,Weekday Morning,2025-04-05,2025-05-31,60
125,2,53,B2025125,Online,Weekend Morning,2025-08-09,2025-10-18,50
126,8,47,B2023126,Hybrid,Weekday Morning,2023-12-23,2024-01-20,50
127,2,20,B2024127,Offline,Weekday Evening,2024-12-26,2025-02-20,30
128,7,1,B2024128,Offline,Weekday Morning,2024-01-08,2024-02-05,30
129,1,41,B2023129,Online,Weekend Morning,2023-12-05,2024-01-16,30
130,5,48,B2025130,Hybrid,Weekday Evening,2025-06-06,2025-08-01,30
131,1,14,B2025131,Online,Weekday Evening,2025-06-14,2025-07-26,30
132,7,45,B2025132,Online,Weekend Morning,2025-06-19,2025-08-28,50
133,8,49,B2025133,Online,Weekday Evening,2025-01-01,2025-02-26,40
134,9,56,B2024134,Online,Weekday Morning,2024-05-14,2024-06-25,40
135,5,44,B2025135,Offline,Weekend Evening,2025-09-17,2025-11-12,40
136,3,25,B2024136,Online,Weekday Evening,2024-06-14,2024-07-12,40
137,1,36,B2025137,Offline,Weekday Evening,2025-07-15,2025-08-26,60
138,8,48,B2025138,Online,Weekend Morning,2025-05-23,2025-06-20,60
139,3,59,B2024139,Hybrid,Weekend Evening,2024-10-27,2024-11-24,50
140,2,38,B2024140,Offline,Weekend Evening,2024-11-23,2024-12-21,30
141,3,39,B2024141,Online,Weekend Morning,2024-05-30,2024-07-25,60
142,3,37,B2024142,Offline,Weekday Morning,2024-01-27,2024-03-09,50
143,4,40,B2025143,Online,Weekend Morning,2025-04-09,2025-05-07,60
144,9,37,B2025144,Hybrid,Weekend Evening,2025-11-06,2026-01-15,60
145,9,47,B2024145,Offline,Weekend Morning,2024-04-02,2024-04-30,40
146,4,31,B2024146,Offline,Weekend Morning,2024-02-29,2024-05-09,30
147,4,7,B2024147,Hybrid,Weekend Evening,2024-12-30,2025-02-24,40
148,9,26,B2025148,Hybrid,Weekend Evening,2025-09-03,2025-10-29,40
149,5,15,B2024149,Hybrid,Weekday Evening,2024-08-19,2024-09-30,40
150,9,51,B2025150,Online,Weekend Morning,2025-05-16,2025-07-25,40
